"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1636","Go @celtics Ì†ΩÌ≤öÌ†ΩÌ≤öÌ†ºÌΩÄÌ†ΩÌ≤öÌ†ºÌΩÄÌ†ΩÌ≤öÌ†ºÌΩÄÌ†ΩÌ≤ö",FALSE,0,NA,2018-05-07 22:04:19,FALSE,NA,"993612516688359426",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bring_u_JOI",0,FALSE,FALSE,NA,NA
"1637","Let's go #Celtics #SweepPhilaOnTheyFloor #FuckTheProcess #NBAPlayoffs #BOSvsPHI #Game4 #CUsRise @NBAonTNT‚Ä¶ https://t.co/A0YcyTEaVR",FALSE,0,NA,2018-05-07 22:04:19,TRUE,NA,"993612516600238081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","WhatItDo314Fam",0,FALSE,FALSE,NA,NA
"1638","Vamos Celtics",FALSE,0,NA,2018-05-07 22:04:18,FALSE,NA,"993612514897420288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JorgeDavila185",0,FALSE,FALSE,NA,NA
"1639","finish them celtics",FALSE,1,NA,2018-05-07 22:04:18,FALSE,NA,"993612514511421441",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","michaelis4real",0,FALSE,FALSE,NA,NA
"1640","Si los Boston #Celtics ganan hoy, ser√° la primera vez en 30 a√±os que juegan las Finales de Conferencia en a√±os cons‚Ä¶ https://t.co/kpMuAfFtUF",FALSE,4,NA,2018-05-07 22:04:18,TRUE,NA,"993612513240547328",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlbertoLosaG",3,FALSE,FALSE,NA,NA
"1641","Sixers very poor defending the perimeter early. Celtics have missed two wide open threes to start",FALSE,2,NA,2018-05-07 22:04:17,FALSE,NA,"993612510443032577",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Sixerdelphia",0,FALSE,FALSE,NA,NA
"1642","#letsgoceltics #celtics",FALSE,0,NA,2018-05-07 22:04:17,FALSE,NA,"993612509528580097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mumuRay20",0,FALSE,FALSE,NA,NA
"1643","¬°As√≠ est√°n las cosas en el #TiempoDePlayoffs! 

Oeste:
#Rockets 3-1 #TakeNote
#DubNation 3-1 #DoItBigger
 
Este:‚Ä¶ https://t.co/7zxCH7bw04",FALSE,0,NA,2018-05-07 22:04:16,TRUE,NA,"993612507351801856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","R_07_R_G",0,FALSE,FALSE,NA,NA
"1644","Game 4, let's wrap it up and get this W. Close it up boys!!! Ì†ΩÌ≤öÌ†ΩÌ≤öÌ†ΩÌ≤ö‚òò #Celtics #CUsRise",FALSE,0,NA,2018-05-07 22:04:13,FALSE,NA,"993612493086953473",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","raeexqueen",0,FALSE,FALSE,NA,NA
"1645","S√ºp√ºrgeler ellerimizde saldƒ±r ≈üanlƒ± BOSTON 4-0‚Äôla finallere ko≈üalƒ±m! ‚òòÔ∏è 
#celtics 
#CUsRise",FALSE,0,NA,2018-05-07 22:04:12,FALSE,NA,"993612489828028419",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AbdullahYldzzz",0,FALSE,FALSE,NA,NA
"1646","quem me acompanha no bong vendo celtics vs 76ers? Ì†ºÌøÄ",FALSE,2,NA,2018-05-07 22:04:11,FALSE,NA,"993612485977624576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chapadera_",0,FALSE,FALSE,NA,NA
"1647","Gumising ng maaga para sa game 4
Goooo Celtics ‚òòÔ∏è‚úäÌ†ºÌøªÌ†ΩÌ∏é -sweep #nbaonabscbn #CUsRise https://t.co/S8o0PKpx59",FALSE,0,NA,2018-05-07 22:04:09,FALSE,NA,"993612475378511872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","junielbawaduli",0,FALSE,FALSE,NA,NA
"1648","#Celtics ‰ªäÊó•„ÅßÊ±∫„ÇÅ„Çã„ÅãÔºÅÔºü",FALSE,0,NA,2018-05-07 22:04:08,FALSE,NA,"993612472740270080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LarryNak",0,FALSE,FALSE,NA,NA
"1649","Let‚Äôs Go Celtics!",FALSE,0,NA,2018-05-07 22:04:08,FALSE,NA,"993612472732061696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlayanaP",0,FALSE,FALSE,NA,NA
"1650","Shit Tony Brothers is reffing this game. Not good if you are a Celtics fan.",FALSE,0,NA,2018-05-07 22:04:08,FALSE,NA,"993612471201075206",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","PetePrickly",0,FALSE,FALSE,NA,NA
"1651","„Çπ„Ç§„Éº„Éó„Åô„Çã„ÅûÔºÅ
LetsGo #Celtics",FALSE,0,NA,2018-05-07 22:04:07,FALSE,NA,"993612467480576001",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kokudou118",0,FALSE,FALSE,NA,NA
"1652","Let‚Äôs go Celtics!!!!!! ‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è‚òòÔ∏è",FALSE,0,NA,2018-05-07 22:04:07,FALSE,NA,"993612466826301440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YB_Ray",0,FALSE,FALSE,NA,NA
"1653","Sixers vs Celtics #Game4",FALSE,0,NA,2018-05-07 22:04:06,FALSE,NA,"993612462976045056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RODakaBOO",0,FALSE,FALSE,NA,NA
"1654","Hoy matan los @celtics #NBA",FALSE,0,NA,2018-05-07 22:04:05,FALSE,NA,"993612461164191744",NA,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","DorwisFoto",0,FALSE,FALSE,NA,NA
"1655","Play na rodada dupla!
Go BOSTON CELTICS Ì†ºÌΩÄÌ†ΩÌ¥•Ì†ºÌøÄ

#NBAnoSporTV",FALSE,0,NA,2018-05-07 22:04:04,FALSE,NA,"993612455350800384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","queirozbrunoarq",0,FALSE,FALSE,NA,NA
"1656","NOVA COLUNA Ì†ΩÌ¥ó: Pontos de interesse dos playoffs, incluindo a estrat√©gia defensiva do Celtics, Al Horford destruindo‚Ä¶ https://t.co/wumicQZOsq",FALSE,2,NA,2018-05-07 22:04:04,TRUE,NA,"993612454776201216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tmwarning",0,FALSE,FALSE,NA,NA
"1657","Let‚Äôs get it Celtics!",FALSE,0,NA,2018-05-07 22:04:02,FALSE,NA,"993612446156935169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","__RayWoods5",0,FALSE,FALSE,NA,NA
"1658","LETS GO CELTICS",FALSE,1,NA,2018-05-07 22:04:00,FALSE,NA,"993612438191919104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","naosouorui",0,FALSE,FALSE,NA,NA
"1659","https://t.co/uR6mfAcF01
https://t.co/MStzCerAzR",FALSE,0,NA,2018-05-07 22:03:59,FALSE,NA,"993612436321193984",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MartirosyanGGG2",0,FALSE,FALSE,NA,NA
"1660","Let‚Äôs get it! #CelticNation celtics https://t.co/nLI6J0XQo0",FALSE,0,NA,2018-05-07 22:03:58,FALSE,NA,"993612431921381376",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","dlux37",0,FALSE,FALSE,NA,NA
"1661","Celtics vs Sixers Ì†ºÌøÄÌ†ºÌøÄ",FALSE,0,NA,2018-05-07 22:03:58,FALSE,NA,"993612431204192256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MarianoPinchu6",0,FALSE,FALSE,NA,NA
"1662","#NBA EN MINUTOS...

Los @celtics tienen la oportunidad de definir la serie y pasar a las finales de conferencia. En‚Ä¶ https://t.co/nXIqEz7Q7F",FALSE,0,NA,2018-05-07 22:03:58,TRUE,NA,"993612429652381697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DBasketes",0,FALSE,FALSE,NA,NA
"1663","Espero que los #Celtics ganen hoy y barran la serie.",FALSE,2,NA,2018-05-07 22:03:57,FALSE,NA,"993612426384900096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","moesse888",0,FALSE,FALSE,NA,NA
"1664","Let‚Äôs go Celtics",FALSE,0,NA,2018-05-07 22:03:57,FALSE,NA,"993612424828932097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alex_7l",0,FALSE,FALSE,NA,NA
